date,units_sold,price,region,year,month,peak
2015-10-11,3.30782865,1.23,Northeast,2015,10,0
2015-10-11,3.00413339,1.02,Great_Lakes,2015,10,0
2015-10-11,0.27847266,1.19,Northern_New_England,2015,10,0
2015-10-11,3.17982467,0.97,Southeast,2015,10,0
2015-10-11,5.23604786,0.83,SouthCentral,2015,10,0
2015-10-18,2.27463859,1.15,Southeast,2015,10,0
2015-10-18,2.98154994,1.03,Great_Lakes,2015,10,0
2015-10-18,5.41353264,0.89,West,2015,10,0
2015-10-18,4.86660714,0.99,Northeast,2015,10,0
2015-10-18,0.4024664,1,Northern_New_England,2015,10,0
2015-10-18,4.68770556,0.87,SouthCentral,2015,10,0
2015-10-18,29.3751236,0.99,Total_US,2015,10,0
2015-10-18,1.36888769,1.12,Plains,2015,10,0
2015-10-18,2.78317015,1.05,Midsouth,2015,10,0
2015-10-25,2.18848529,1.13,Midsouth,2015,10,0
2015-10-25,0.31388126,1.08,Northern_New_England,2015,10,0
2015-10-25,4.94583554,0.95,West,2015,10,0
2015-10-25,1.41135454,1.11,Plains,2015,10,0
2015-10-25,2.21171676,1.16,Southeast,2015,10,0
2015-10-25,2.67153594,1.1,Great_Lakes,2015,10,0
2015-10-25,3.30661418,1.15,Northeast,2015,10,0
2015-10-25,26.24007211,1.04,Total_US,2015,10,0
2015-10-25,4.91206804,0.86,SouthCentral,2015,10,0
2015-11-01,3.22704919,0.98,Southeast,2015,11,0
2015-11-01,5.07255094,0.81,SouthCentral,2015,11,0
2015-11-01,2.51176036,1.08,Midsouth,2015,11,0
2015-11-01,31.04748427,0.97,Total_US,2015,11,0
2015-11-01,3.22912475,1,Great_Lakes,2015,11,0
2015-11-01,4.80162108,1.09,Northeast,2015,11,0
2015-11-01,1.35009182,1.12,Plains,2015,11,0
2015-11-01,0.35026055,1.07,Northern_New_England,2015,11,0
2015-11-01,5.02485814,0.9,West,2015,11,0
2015-11-08,2.1977637,1.16,Southeast,2015,11,0
2015-11-08,1.28558697,1.12,Plains,2015,11,0
2015-11-08,4.86481401,0.8,SouthCentral,2015,11,0
2015-11-08,5.09483754,0.88,West,2015,11,0
2015-11-08,28.48571597,0.97,Total_US,2015,11,0
2015-11-08,4.20577544,1.1,Northeast,2015,11,0
2015-11-08,3.18494653,0.98,Great_Lakes,2015,11,0
2015-11-08,0.48933978,0.96,Northern_New_England,2015,11,0
2015-11-08,2.50300826,1.04,Midsouth,2015,11,0
2015-11-15,3.53894622,1.09,Northeast,2015,11,0
2015-11-15,1.29486675,1.09,Plains,2015,11,0
2015-11-15,2.49404441,1.09,Great_Lakes,2015,11,0
2015-11-15,0.28701598,1.07,Northern_New_England,2015,11,0
2015-11-15,2.35583919,1.02,Midsouth,2015,11,0
2015-11-15,5.97249377,0.83,West,2015,11,0
2015-11-15,4.94368709,0.76,SouthCentral,2015,11,0
2015-11-15,2.2426882,1.16,Southeast,2015,11,0
2015-11-15,28.59775627,0.92,Total_US,2015,11,0
2015-11-22,1.28161328,1.1,Plains,2015,11,0
2015-11-22,4.34751051,0.8,SouthCentral,2015,11,0
2015-11-22,0.2742092,1.08,Northern_New_England,2015,11,0
2015-11-22,3.02621724,1.16,Northeast,2015,11,0
2015-11-22,2.66755184,0.98,Southeast,2015,11,0
2015-11-22,4.48199034,0.92,West,2015,11,0
2015-11-22,25.11422811,0.96,Total_US,2015,11,0
2015-11-22,2.60182163,1.03,Great_Lakes,2015,11,0
2015-11-22,1.903245,1.06,Midsouth,2015,11,0
2015-11-29,1.84544313,1.05,Midsouth,2015,11,0
2015-11-29,3.71960321,0.99,West,2015,11,0
2015-11-29,2.19840892,1.07,Great_Lakes,2015,11,0
2015-11-29,2.61582804,0.97,Southeast,2015,11,0
2015-11-29,3.96957889,0.82,SouthCentral,2015,11,0
2015-11-29,0.2196899,1.25,Northern_New_England,2015,11,0
2015-11-29,22.61799938,0.99,Total_US,2015,11,0
2015-11-29,1.09964606,1.11,Plains,2015,11,0
2015-11-29,2.59378051,1.22,Northeast,2015,11,0
2015-12-06,0.30305829,1.11,Northern_New_England,2015,12,0
2015-12-06,4.93852647,0.76,SouthCentral,2015,12,0
2015-12-06,2.20555058,1.13,Southeast,2015,12,0
2015-12-06,28.80039657,0.89,Total_US,2015,12,0
2015-12-06,2.9813472,1,Great_Lakes,2015,12,0
2015-12-06,1.24528961,1.08,Plains,2015,12,0
2015-12-06,2.23313801,1,Midsouth,2015,12,0
2015-12-06,3.21849455,1.14,Northeast,2015,12,0
2015-12-06,6.20251384,0.75,West,2015,12,0
2015-12-13,2.19314282,1.03,Midsouth,2015,12,0
2015-12-13,1.47250113,1.02,Plains,2015,12,0
2015-12-13,4.86930942,0.78,SouthCentral,2015,12,0
2015-12-13,3.69655152,1.09,Northeast,2015,12,0
2015-12-13,0.40748283,0.95,Northern_New_England,2015,12,0
2015-12-13,4.89943992,0.85,West,2015,12,0
2015-12-13,2.60844806,1.03,Great_Lakes,2015,12,0
2015-12-13,3.0425882,0.96,Southeast,2015,12,0
2015-12-13,28.04133538,0.93,Total_US,2015,12,0
2015-12-20,4.73764903,0.88,West,2015,12,0
2015-12-20,1.13986164,1.13,Plains,2015,12,0
2015-12-20,2.04402093,1.05,Midsouth,2015,12,0
2015-12-20,0.28480822,1.17,Northern_New_England,2015,12,0
2015-12-20,25.08364717,0.98,Total_US,2015,12,0
2015-12-20,4.56520785,0.81,SouthCentral,2015,12,0
2015-12-20,3.19012004,1.2,Northeast,2015,12,0
2015-12-20,2.20630507,1.12,Southeast,2015,12,0
2015-12-20,2.50474545,1.01,Great_Lakes,2015,12,0
2015-12-27,5.29197963,0.83,West,2015,12,0
2015-12-27,3.02495605,0.98,Southeast,2015,12,0
2015-12-27,2.58060296,1.01,Great_Lakes,2015,12,0
2015-12-27,1.30692323,1.1,Plains,2015,12,0
2015-12-27,2.06513133,1.05,Midsouth,2015,12,0
2015-12-27,4.83166477,0.81,SouthCentral,2015,12,0
2015-12-27,0.30459842,1.21,Northern_New_England,2015,12,0
2015-12-27,27.29798367,0.95,Total_US,2015,12,0
2015-12-27,3.1563602,1.2,Northeast,2015,12,0
2016-01-03,3.28045138,1.06,Southeast,2016,1,0
2016-01-03,2.96792965,1.01,Midsouth,2016,1,0
