Plant,Year,Month,Day,Hour,Cost
Bowen,2007,7,25,14,2.610679891
Bowen,2007,7,25,15,3.125260442
Bowen,2007,7,25,16,8.210611236
Bowen,2007,7,25,17,12.60686926
Bowen,2007,7,25,18,15.96393869
Bowen,2007,7,25,19,19.93714823
Bowen,2007,7,25,20,24.71430573
Bowen,2007,7,25,21,30.26506373
Bowen,2007,7,25,22,35.7469821
Bowen,2007,7,25,23,41.97143869
Bowen,2007,7,25,24,46.18220257
Bowen,2007,7,26,1,45.78656548
Bowen,2007,7,26,2,46.96490511
Bowen,2007,7,26,3,43.10367396
Bowen,2007,7,26,4,36.39171026
Bowen,2007,7,26,5,30.43200047
Bowen,2007,7,26,6,26.53289235
Bowen,2007,7,26,7,23.85358925
Bowen,2007,7,26,8,19.56093868
Bowen,2007,7,26,9,15.54643388
Bowen,2007,7,26,10,11.82486881
Bowen,2007,7,26,11,9.540580403
Bowen,2007,7,26,12,8.460112921
Bowen,2007,7,26,13,7.000402132
Bowen,2007,7,26,14,5.396520702
Bowen,2007,7,26,15,5.916743856
Bowen,2007,7,26,16,9.280121473
Bowen,2007,7,26,17,15.18036483
Bowen,2007,7,26,18,16.01705963
Bowen,2007,7,26,19,15.2971081
Bowen,2007,7,26,20,15.47871776
Bowen,2007,7,26,21,16.06949896
Bowen,2007,7,26,22,18.87944398
Bowen,2007,7,26,23,23.44321803
Bowen,2007,7,26,24,29.42942032
Bowen,2007,7,27,1,35.698348
Bowen,2007,7,27,2,41.60589133
Bowen,2007,7,27,3,47.11566676
Bowen,2007,7,27,4,47.16115754
Bowen,2007,7,27,5,47.58467727
Bowen,2007,7,27,6,47.5510803
Bowen,2007,7,27,7,46.96742912
Bowen,2007,7,27,8,40.55384439
Bowen,2007,7,27,9,33.91384614
Bowen,2007,7,27,10,27.42794363
Bowen,2007,7,27,11,22.19004145
Bowen,2007,7,27,12,20.14443179
Bowen,2007,7,27,13,19.38048114
Bowen,2007,7,27,14,20.08916565
Bowen,2007,7,27,15,19.34971412
Bowen,2007,7,27,16,29.40399267
Bowen,2007,7,27,17,58.39784178
Bowen,2007,7,27,18,71.19898358
Bowen,2007,7,27,19,82.1284734
Bowen,2007,7,27,20,83.81253878
Bowen,2007,7,27,21,78.53714045
Bowen,2007,7,27,22,73.85832558
Bowen,2007,7,27,23,68.72404881
Bowen,2007,7,27,24,51.21711554
Bowen,2007,7,28,1,38.08330703
Bowen,2007,7,28,2,30.50143375
Bowen,2007,7,28,3,26.34407466
Bowen,2007,7,28,4,23.81954835
Bowen,2007,7,28,5,22.00801949
Bowen,2007,7,28,6,22.11276649
Bowen,2007,7,28,7,22.12204294
Bowen,2007,7,28,8,22.68543675
Bowen,2007,7,28,9,17.71340445
Bowen,2007,7,28,10,11.9406017
Bowen,2007,7,28,11,8.239422811
Bowen,2007,7,28,12,5.615868294
Bowen,2007,7,28,13,4.205728167
Bowen,2007,7,28,14,4.768863511
Bowen,2007,7,28,15,5.984116619
Bowen,2007,7,28,16,12.58223668
Bowen,2007,7,28,17,23.20214547
Bowen,2007,7,28,18,28.79016942
Bowen,2007,7,28,19,28.5300399
Bowen,2007,7,28,20,25.85675161
Bowen,2007,7,28,21,22.37644212
Bowen,2007,7,28,22,19.56793665
Bowen,2007,7,28,23,17.0828443
Bowen,2007,7,28,24,14.26033656
Bowen,2007,7,29,1,12.03346735
Bowen,2007,7,29,2,12.25653569
Bowen,2007,7,29,3,13.09401261
Bowen,2007,7,29,4,13.05638631
Bowen,2007,7,29,5,12.33335271
Bowen,2007,7,29,6,11.42970169
Bowen,2007,7,29,7,9.454136464
Bowen,2007,7,29,8,7.142834997
Bowen,2007,7,29,9,4.95161501
Bowen,2007,7,29,10,3.291984119
Bowen,2007,7,29,11,2.272712192
Bowen,2007,7,29,12,1.510043739
Bowen,2007,7,29,13,1.051451354
Bowen,2007,7,29,14,0.92639689
Bowen,2007,7,29,15,6.400712513
Bowen,2007,7,29,16,50.59897762
Bowen,2007,7,29,17,76.13648685
Bowen,2007,7,29,18,69.30914405
Bowen,2007,7,29,19,66.10815718
Bowen,2007,7,29,20,67.29697894
Bowen,2007,7,29,21,67.20039596
Bowen,2007,7,29,22,62.75023788
